,Source,Sediment,TotalN,TotalP,gwlfe_endpoint,huc_run,huc_run_level,huc,huc_name,huc_states,huc_areaacres,huc_level,land_use_source,stream_layer,weather_source,closest_weather_stations
1376,Stream Bank Erosion,335275.0,269.0,109.0,gwlfe,020401030502,12,020401030502,East Branch Wallenpaupack,PA,10743.7,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1377,Subsurface Flow,0.0,6998.219035456645,183.18867475165922,gwlfe,020401030502,12,020401030502,East Branch Wallenpaupack,PA,10743.7,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1378,Wetlands,315.84008210157765,254.3457694773883,13.745350851411574,gwlfe,020401030502,12,020401030502,East Branch Wallenpaupack,PA,10743.7,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1379,Wooded Areas,2903.839955312535,528.3791872141221,31.107614533652146,gwlfe,020401030502,12,020401030502,East Branch Wallenpaupack,PA,10743.7,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1380,Barren Areas,32.43100432087367,22.30449295227121,0.7845308546088018,gwlfe,020401030503,12,020401030503,Headwaters Wallenpaupack Creek,PA,26047.93,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1381,Cropland,94.38286419264222,0.7796157009190463,0.2050510680271923,gwlfe,020401030503,12,020401030503,Headwaters Wallenpaupack Creek,PA,26047.93,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1382,Farm Animals,0.0,1346.1138535957307,300.63778453345617,gwlfe,020401030503,12,020401030503,Headwaters Wallenpaupack Creek,PA,26047.93,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1383,Hay/Pasture,75130.267411854,604.6119710516294,286.5770113191762,gwlfe,020401030503,12,020401030503,Headwaters Wallenpaupack Creek,PA,26047.93,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1384,High-Density Mixed,1511.3913092274186,29.556355462975876,3.0191171965477728,gwlfe,020401030503,12,020401030503,Headwaters Wallenpaupack Creek,PA,26047.93,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1385,Low-Density Mixed,3922.025475304131,86.7683319290196,9.458590235912489,gwlfe,020401030503,12,020401030503,Headwaters Wallenpaupack Creek,PA,26047.93,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1386,Low-Density Open Space,21767.961466054567,481.5801727443566,52.49691239258895,gwlfe,020401030503,12,020401030503,Headwaters Wallenpaupack Creek,PA,26047.93,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1387,Medium-Density Mixed,7043.91545951861,137.74888601093343,14.070748035286865,gwlfe,020401030503,12,020401030503,Headwaters Wallenpaupack Creek,PA,26047.93,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1388,Open Land,1333.4598447297599,83.89946553089626,3.4241539091084987,gwlfe,020401030503,12,020401030503,Headwaters Wallenpaupack Creek,PA,26047.93,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1389,Point Sources,0.0,74.9598497081984,10.419979108316802,gwlfe,020401030503,12,020401030503,Headwaters Wallenpaupack Creek,PA,26047.93,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1390,Septic Systems,0.0,180.47848896000002,0.0,gwlfe,020401030503,12,020401030503,Headwaters Wallenpaupack Creek,PA,26047.93,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1391,Stream Bank Erosion,2406601.0,1977.0,827.0,gwlfe,020401030503,12,020401030503,Headwaters Wallenpaupack Creek,PA,26047.93,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1392,Subsurface Flow,0.0,33481.45077718193,885.9244911140707,gwlfe,020401030503,12,020401030503,Headwaters Wallenpaupack Creek,PA,26047.93,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1393,Wetlands,536.8000432950879,300.3739912514114,16.454548850739744,gwlfe,020401030503,12,020401030503,Headwaters Wallenpaupack Creek,PA,26047.93,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1394,Wooded Areas,10363.688629066199,1390.4341043479483,85.64094193273421,gwlfe,020401030503,12,020401030503,Headwaters Wallenpaupack Creek,PA,26047.93,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1395,Barren Areas,3.615945062339035,3.927457303859531,0.13615578456961747,gwlfe,020401030504,12,020401030504,Ariel Creek,PA,10311.44,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1396,Cropland,1193.0691089447207,16.72574239127901,4.202637949276438,gwlfe,020401030504,12,020401030504,Ariel Creek,PA,10311.44,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1397,Farm Animals,0.0,1164.4582800730336,257.35323466714647,gwlfe,020401030504,12,020401030504,Ariel Creek,PA,10311.44,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1398,Hay/Pasture,130947.44024165683,1128.3139395353983,639.0535574406058,gwlfe,020401030504,12,020401030504,Ariel Creek,PA,10311.44,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1399,High-Density Mixed,926.987936789453,17.625026160389712,1.797696866617005,gwlfe,020401030504,12,020401030504,Ariel Creek,PA,10311.44,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1400,Low-Density Mixed,5108.478031735402,119.73597401290294,12.955001619821758,gwlfe,020401030504,12,020401030504,Ariel Creek,PA,10311.44,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1401,Low-Density Open Space,15546.12435872742,364.38061016494123,39.42467110519149,gwlfe,020401030504,12,020401030504,Ariel Creek,PA,10311.44,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1402,Medium-Density Mixed,5632.1539795844055,107.08538621691326,10.922370356263924,gwlfe,020401030504,12,020401030504,Ariel Creek,PA,10311.44,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1403,Open Land,1066.2044519982508,32.82049667549446,2.239909541644695,gwlfe,020401030504,12,020401030504,Ariel Creek,PA,10311.44,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1404,Point Sources,0.0,1353.1172870485245,217.22956446253917,gwlfe,020401030504,12,020401030504,Ariel Creek,PA,10311.44,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1405,Septic Systems,0.0,141.80452703999998,0.0,gwlfe,020401030504,12,020401030504,Ariel Creek,PA,10311.44,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1406,Stream Bank Erosion,957767.0,644.0,369.0,gwlfe,020401030504,12,020401030504,Ariel Creek,PA,10311.44,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1407,Subsurface Flow,0.0,5885.08338149059,238.86514901344162,gwlfe,020401030504,12,020401030504,Ariel Creek,PA,10311.44,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1408,Wetlands,343.265723901745,158.08787272108367,8.800074626455869,gwlfe,020401030504,12,020401030504,Ariel Creek,PA,10311.44,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1409,Wooded Areas,2958.8310308110217,566.4765529994924,33.94905997634105,gwlfe,020401030504,12,020401030504,Ariel Creek,PA,10311.44,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1410,Barren Areas,25.0635288398014,46.7759538291581,1.5913197055143111,gwlfe,020401030505,12,020401030505,Lake Wallenpaupack-Wallenpaupack Creek,PA,44239.78,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1411,Cropland,2541.9895852441427,62.12854025042832,12.288468461971153,gwlfe,020401030505,12,020401030505,Lake Wallenpaupack-Wallenpaupack Creek,PA,44239.78,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1412,Farm Animals,0.0,3066.7015893738603,680.5304026334233,gwlfe,020401030505,12,020401030505,Lake Wallenpaupack-Wallenpaupack Creek,PA,44239.78,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1413,Hay/Pasture,118642.74879358186,1562.5317874861444,791.726520592191,gwlfe,020401030505,12,020401030505,Lake Wallenpaupack-Wallenpaupack Creek,PA,44239.78,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1414,High-Density Mixed,4456.3107204902535,86.97731827155282,8.883549999916953,gwlfe,020401030505,12,020401030505,Lake Wallenpaupack-Wallenpaupack Creek,PA,44239.78,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1415,Low-Density Mixed,11437.382179545171,257.4686534014315,28.002299152581664,gwlfe,020401030505,12,020401030505,Lake Wallenpaupack-Wallenpaupack Creek,PA,44239.78,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1416,Low-Density Open Space,52207.37035697149,1175.248070968439,127.82001858083194,gwlfe,020401030505,12,020401030505,Lake Wallenpaupack-Wallenpaupack Creek,PA,44239.78,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1417,Medium-Density Mixed,21122.074637558817,412.2561292369525,42.10635611245903,gwlfe,020401030505,12,020401030505,Lake Wallenpaupack-Wallenpaupack Creek,PA,44239.78,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1418,Open Land,1284.1926552853388,105.40079618195621,3.8042326655647907,gwlfe,020401030505,12,020401030505,Lake Wallenpaupack-Wallenpaupack Creek,PA,44239.78,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1419,Point Sources,0.0,4248.201482508879,305.0893883067536,gwlfe,020401030505,12,020401030505,Lake Wallenpaupack-Wallenpaupack Creek,PA,44239.78,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1420,Septic Systems,0.0,536.6012216400001,0.0,gwlfe,020401030505,12,020401030505,Lake Wallenpaupack-Wallenpaupack Creek,PA,44239.78,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1421,Stream Bank Erosion,7613833.0,5603.0,2626.0,gwlfe,020401030505,12,020401030505,Lake Wallenpaupack-Wallenpaupack Creek,PA,44239.78,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1422,Subsurface Flow,0.0,29700.33474273485,1205.484174852179,gwlfe,020401030505,12,020401030505,Lake Wallenpaupack-Wallenpaupack Creek,PA,44239.78,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1423,Wetlands,716.0021180921685,567.5799469068604,30.7495767826649,gwlfe,020401030505,12,020401030505,Lake Wallenpaupack-Wallenpaupack Creek,PA,44239.78,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1424,Wooded Areas,11111.147197506234,2905.440811163903,166.52669366818913,gwlfe,020401030505,12,020401030505,Lake Wallenpaupack-Wallenpaupack Creek,PA,44239.78,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1425,Barren Areas,33.89849486170335,27.28429202662133,0.9447451771656415,gwlfe,0204010306,10,0204010306,Lackawaxen River,PA,80689.34,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1426,Cropland,5096.703442570441,125.04784911901359,21.00356842629711,gwlfe,0204010306,10,0204010306,Lackawaxen River,PA,80689.34,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1427,Farm Animals,0.0,3964.4807742609205,882.5412048812867,gwlfe,0204010306,10,0204010306,Lackawaxen River,PA,80689.34,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1428,Hay/Pasture,235170.6111009795,4223.0882722806155,1822.1524234734188,gwlfe,0204010306,10,0204010306,Lackawaxen River,PA,80689.34,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1429,High-Density Mixed,14139.381795042334,305.9718631517971,31.409643292994552,gwlfe,0204010306,10,0204010306,Lackawaxen River,PA,80689.34,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1430,Low-Density Mixed,15261.86314251629,349.89832377438114,37.964705451208275,gwlfe,0204010306,10,0204010306,Lackawaxen River,PA,80689.34,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1431,Low-Density Open Space,57606.07622586346,1320.6952075528573,143.29821304859234,gwlfe,0204010306,10,0204010306,Lackawaxen River,PA,80689.34,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1432,Medium-Density Mixed,32460.834261857755,702.4424463907454,72.109462771241,gwlfe,0204010306,10,0204010306,Lackawaxen River,PA,80689.34,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1433,Open Land,2992.5165874631084,254.33490846664841,8.333692858216974,gwlfe,0204010306,10,0204010306,Lackawaxen River,PA,80689.34,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1434,Point Sources,0.0,5505.588961492224,2124.0857412845135,gwlfe,0204010306,10,0204010306,Lackawaxen River,PA,80689.34,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1435,Septic Systems,0.0,866.9413130399997,0.0,gwlfe,0204010306,10,0204010306,Lackawaxen River,PA,80689.34,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1436,Stream Bank Erosion,13400345.0,11210.0,3859.0,gwlfe,0204010306,10,0204010306,Lackawaxen River,PA,80689.34,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1437,Subsurface Flow,0.0,54032.289798978265,2224.6959439285165,gwlfe,0204010306,10,0204010306,Lackawaxen River,PA,80689.34,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1438,Wetlands,954.0050748811141,876.2009500339891,47.04680400409091,gwlfe,0204010306,10,0204010306,Lackawaxen River,PA,80689.34,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1439,Wooded Areas,18678.676651049456,4057.0044872475305,231.75411265321114,gwlfe,0204010306,10,0204010306,Lackawaxen River,PA,80689.34,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1440,Barren Areas,26.07711268146132,15.296309423394867,0.5377069240719822,gwlfe,020401030601,12,020401030601,Carley Brook-Lackawaxen River,PA,27871.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1441,Cropland,3310.100765507325,94.90974026879307,15.843071874775804,gwlfe,020401030601,12,020401030601,Carley Brook-Lackawaxen River,PA,27871.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1442,Farm Animals,0.0,3271.2260040039378,723.834662640561,gwlfe,020401030601,12,020401030601,Carley Brook-Lackawaxen River,PA,27871.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1443,Hay/Pasture,258859.8513452715,3892.416322049539,1688.6009841102584,gwlfe,020401030601,12,020401030601,Carley Brook-Lackawaxen River,PA,27871.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1444,High-Density Mixed,12555.734504168451,281.6276863550167,28.957877572323138,gwlfe,020401030601,12,020401030601,Carley Brook-Lackawaxen River,PA,27871.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1445,Low-Density Mixed,8079.538237993626,191.27504389827217,20.669261334092536,gwlfe,020401030601,12,020401030601,Carley Brook-Lackawaxen River,PA,27871.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1446,Low-Density Open Space,22388.319459603266,530.0212290978125,57.27431594613048,gwlfe,020401030601,12,020401030601,Carley Brook-Lackawaxen River,PA,27871.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1447,Medium-Density Mixed,23514.4107415192,527.4330299782164,54.23238498808397,gwlfe,020401030601,12,020401030601,Carley Brook-Lackawaxen River,PA,27871.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1448,Open Land,1798.2555887762292,95.04418042632057,3.90209689731967,gwlfe,020401030601,12,020401030601,Carley Brook-Lackawaxen River,PA,27871.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1449,Point Sources,0.0,4361.581255186514,1676.1166394464444,gwlfe,020401030601,12,020401030601,Carley Brook-Lackawaxen River,PA,27871.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1450,Septic Systems,0.0,641.3432018399999,0.0,gwlfe,020401030601,12,020401030601,Carley Brook-Lackawaxen River,PA,27871.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1451,Stream Bank Erosion,3622030.0,3100.0,1070.0,gwlfe,020401030601,12,020401030601,Carley Brook-Lackawaxen River,PA,27871.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1452,Subsurface Flow,0.0,16282.885062358782,670.9683408369983,gwlfe,020401030601,12,020401030601,Carley Brook-Lackawaxen River,PA,27871.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1453,Wetlands,403.5212957186234,266.5691847954274,14.43394242828662,gwlfe,020401030601,12,020401030601,Carley Brook-Lackawaxen River,PA,27871.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1454,Wooded Areas,7791.075064882478,1867.0856540157909,106.06770058157768,gwlfe,020401030601,12,020401030601,Carley Brook-Lackawaxen River,PA,27871.83,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1455,Barren Areas,2.3112674414765895,4.350896832956006,0.14751216834903388,gwlfe,020401030602,12,020401030602,Blooming Grove Creek,PA,19205.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1456,Cropland,0.0,0.0,0.0,gwlfe,020401030602,12,020401030602,Blooming Grove Creek,PA,19205.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1457,Farm Animals,0.0,42.092610961545155,11.252725647958579,gwlfe,020401030602,12,020401030602,Blooming Grove Creek,PA,19205.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1458,Hay/Pasture,8882.143503514531,99.41216362046357,42.964332146961276,gwlfe,020401030602,12,020401030602,Blooming Grove Creek,PA,19205.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1459,High-Density Mixed,200.98942820949142,3.6957706310629277,0.3763100376852063,gwlfe,020401030602,12,020401030602,Blooming Grove Creek,PA,19205.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1460,Low-Density Mixed,2063.8548080771584,46.600681275403815,5.0662863134264695,gwlfe,020401030602,12,020401030602,Blooming Grove Creek,PA,19205.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1461,Low-Density Open Space,9119.415054086217,205.91126502233266,22.38605520802946,gwlfe,020401030602,12,020401030602,Blooming Grove Creek,PA,19205.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1462,Medium-Density Mixed,1823.2612416146721,33.525919296070846,3.4136696275729435,gwlfe,020401030602,12,020401030602,Blooming Grove Creek,PA,19205.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1463,Open Land,872.7525080093106,44.21719904418874,1.8585872912267465,gwlfe,020401030602,12,020401030602,Blooming Grove Creek,PA,19205.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1464,Point Sources,0.0,0.0,0.0,gwlfe,020401030602,12,020401030602,Blooming Grove Creek,PA,19205.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1465,Septic Systems,0.0,45.119622240000005,0.0,gwlfe,020401030602,12,020401030602,Blooming Grove Creek,PA,19205.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1466,Stream Bank Erosion,706452.0,560.0,208.0,gwlfe,020401030602,12,020401030602,Blooming Grove Creek,PA,19205.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1467,Subsurface Flow,0.0,12758.62014772343,333.97564504334855,gwlfe,020401030602,12,020401030602,Blooming Grove Creek,PA,19205.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1468,Wetlands,498.8155611069449,360.490136174166,19.478347752941566,gwlfe,020401030602,12,020401030602,Blooming Grove Creek,PA,19205.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1469,Wooded Areas,6228.4992242360295,1191.0920699012997,68.99705919827777,gwlfe,020401030602,12,020401030602,Blooming Grove Creek,PA,19205.9,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1470,Barren Areas,6.3999041661909,8.309842786568549,0.283385133599492,gwlfe,020401030603,12,020401030603,Lackawaxen River-Delaware River,PA,33611.61,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1471,Cropland,1275.4815618749342,28.260877484662792,4.684864969393153,gwlfe,020401030603,12,020401030603,Lackawaxen River-Delaware River,PA,33611.61,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1472,Farm Animals,0.0,643.1334530361657,145.06448571453308,gwlfe,020401030603,12,020401030603,Lackawaxen River-Delaware River,PA,33611.61,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1473,Hay/Pasture,25745.175819501525,409.25309606831246,170.24029455190146,gwlfe,020401030603,12,020401030603,Lackawaxen River-Delaware River,PA,33611.61,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1474,High-Density Mixed,1172.7717634497103,22.282398221993645,2.2727098997947572,gwlfe,020401030603,12,020401030603,Lackawaxen River-Delaware River,PA,33611.61,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1475,Low-Density Mixed,5194.443436171818,115.94755016627049,12.62449592725033,gwlfe,020401030603,12,020401030603,Lackawaxen River-Delaware River,PA,33611.61,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1476,Low-Density Open Space,26022.93001775337,580.8697352820692,63.245731339864975,gwlfe,020401030603,12,020401030603,Lackawaxen River-Delaware River,PA,33611.61,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1477,Medium-Density Mixed,7177.928383523528,136.3790156237683,13.910079868623331,gwlfe,020401030603,12,020401030603,Lackawaxen River-Delaware River,PA,33611.61,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1478,Open Land,1776.8486850857266,126.48951716168398,4.384131813012627,gwlfe,020401030603,12,020401030603,Lackawaxen River-Delaware River,PA,33611.61,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1479,Point Sources,0.0,1144.0077063057101,447.96910183806875,gwlfe,020401030603,12,020401030603,Lackawaxen River-Delaware River,PA,33611.61,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1480,Septic Systems,0.0,180.47848896,0.0,gwlfe,020401030603,12,020401030603,Lackawaxen River-Delaware River,PA,33611.61,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1481,Stream Bank Erosion,3087582.0,2611.0,858.0,gwlfe,020401030603,12,020401030603,Lackawaxen River-Delaware River,PA,33611.61,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1482,Subsurface Flow,0.0,23419.696985852308,950.5641717787112,gwlfe,020401030603,12,020401030603,Lackawaxen River-Delaware River,PA,33611.61,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1483,Wetlands,347.2773508319772,281.11627883288145,15.119684057877162,gwlfe,020401030603,12,020401030603,Lackawaxen River-Delaware River,PA,33611.61,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1484,Wooded Areas,10194.39094493777,1857.7122711441564,107.28806479974982,gwlfe,020401030603,12,020401030603,Lackawaxen River-Delaware River,PA,33611.61,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14737,14777"
1485,Barren Areas,30.699559699994992,91.06710739777375,3.0658347621853115,gwlfe,0204010401,10,0204010401,Mongaup River,NY,133471.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14734,14777"
1486,Cropland,5154.916238430446,131.43712355923577,21.064234404251277,gwlfe,0204010401,10,0204010401,Mongaup River,NY,133471.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14734,14777"
1487,Farm Animals,0.0,5033.90401551134,1165.9183971234756,gwlfe,0204010401,10,0204010401,Mongaup River,NY,133471.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14734,14777"
1488,Hay/Pasture,122083.75560759587,3907.328655629855,1706.7003075272064,gwlfe,0204010401,10,0204010401,Mongaup River,NY,133471.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14734,14777"
1489,High-Density Mixed,21007.109467614766,425.71707567019286,43.55954819810554,gwlfe,0204010401,10,0204010401,Mongaup River,NY,133471.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14734,14777"
1490,Low-Density Mixed,26860.63153476724,635.234313263974,68.65528802681202,gwlfe,0204010401,10,0204010401,Mongaup River,NY,133471.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14734,14777"
1491,Low-Density Open Space,74884.83173926764,1770.9715649168609,191.4042745139546,gwlfe,0204010401,10,0204010401,Mongaup River,NY,133471.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14734,14777"
1492,Medium-Density Mixed,73901.40116790065,1497.6400461772175,153.23915225192627,gwlfe,0204010401,10,0204010401,Mongaup River,NY,133471.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14734,14777"
1493,Open Land,2400.941646677202,462.2710017085356,11.719406557842419,gwlfe,0204010401,10,0204010401,Mongaup River,NY,133471.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14734,14777"
1494,Point Sources,0.0,5716.178539267697,230.61953761612486,gwlfe,0204010401,10,0204010401,Mongaup River,NY,133471.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14734,14777"
1495,Septic Systems,0.0,1994.0902977600003,0.0,gwlfe,0204010401,10,0204010401,Mongaup River,NY,133471.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14734,14777"
1496,Stream Bank Erosion,28213206.0,23590.0,7740.0,gwlfe,0204010401,10,0204010401,Mongaup River,NY,133471.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14734,14777"
1497,Subsurface Flow,0.0,82889.27209715219,3364.329279237353,gwlfe,0204010401,10,0204010401,Mongaup River,NY,133471.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14734,14777"
1498,Wetlands,961.7665509155388,1716.5020964511154,91.22827610383112,gwlfe,0204010401,10,0204010401,Mongaup River,NY,133471.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14734,14777"
1499,Wooded Areas,17089.98862263347,9532.188717663566,517.4388826175674,gwlfe,0204010401,10,0204010401,Mongaup River,NY,133471.85,10,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14734,14777"
1500,Barren Areas,4.696912495765897,2.469764070703117,0.08685094483888589,gwlfe,020401040101,12,020401040101,Middle Mongaup River,NY,11865.66,12,2019_2019,nhdhr,NASA_NLDAS_2000_2019,"14734,14777"
